student_id,Introduction to Computer Science,Structured Programming,Structured Programming Lab,Calculus 1,Calculus 2,Discrete Mathematics,Statistical Methods,Linear Algebra,Object Oriented Programming,Object Oriented Programming Lab,Data Structures and Introduction to Algorithms,Algorithms Design and Analysis,Database Systems,Database Systems Lab,Operating Systems,Operating Systems Lab,Distributed Systems,Computer and Society,Information Systems Security,Introduction to Data Science,Introduction to Data Science Lab,Data Engineering,Data Engineering Lab,Statistics and Probability for Data Science,Artificial Intelligence,Computer Architecture for Machine Learning,Natural Language Processing,High Performance Computing for Big Data,Data Visualization,Pattern Recognition,Data Mining,Business Intelligence
20200001,5,8,5.0,7,0,0.0,8.0,5.0,8.0,1.0,2,4.0,7.0,6.0,1.0,8.0,4.0,5.0,,3.0,8.0,,,7,5.0,0.0,,,,3.0,,
20200002,0,8,4.0,4,3,6.0,0.0,7.0,8.0,5.0,1,0.0,1.0,3.0,5.0,,6.0,2.0,2.0,,,,,6,3.0,8.0,3.0,,,5.0,,
20200003,3,7,6.0,4,0,1.0,4.0,6.0,4.0,,6,,0.0,,,,,,,,,,,0,1.0,,,,,,,
20200004,4,5,5.0,6,1,3.0,2.0,,6.0,,7,7.0,3.0,,0.0,,,3.0,,,,,,4,4.0,0.0,1.0,,,,,
20200005,8,3,,1,6,4.0,0.0,,,,2,,1.0,,,,,0.0,,,,,,6,0.0,2.0,,,,,,
20200006,2,1,3.0,4,7,,4.0,5.0,2.0,,4,,,,,,,8.0,,5.0,,,,6,,,,,,0.0,,
20200007,7,5,6.0,1,1,2.0,3.0,1.0,2.0,8.0,4,3.0,0.0,6.0,7.0,,2.0,5.0,3.0,7.0,,,,3,,1.0,,,,,,
20200008,5,6,7.0,5,6,,5.0,8.0,,,7,3.0,,,6.0,,,5.0,,4.0,1.0,,,8,3.0,,2.0,,,4.0,,
20200009,7,0,4.0,2,4,0.0,2.0,,2.0,4.0,6,5.0,3.0,8.0,6.0,6.0,,,4.0,6.0,,6.0,,1,,,,0.0,7.0,,,
20200010,5,2,3.0,8,6,6.0,3.0,5.0,4.0,1.0,0,1.0,4.0,3.0,0.0,,,7.0,,1.0,4.0,6.0,,5,8.0,1.0,8.0,6.0,,,1.0,8.0
20200011,0,7,0.0,5,5,,1.0,0.0,4.0,,7,,2.0,,,,,,,3.0,,,,2,,3.0,,,,,,
20200012,2,5,1.0,6,0,3.0,8.0,,8.0,,5,1.0,,,2.0,,,,,,,,,0,6.0,6.0,,,,,,
20200013,3,4,0.0,1,8,2.0,7.0,,,,7,7.0,,,5.0,,,3.0,,,,,,1,,,,,,,,
20200014,8,8,4.0,8,3,4.0,,3.0,,,7,,1.0,8.0,,,,6.0,,,,,,2,,1.0,,,,,,
20200015,1,4,,6,3,,,5.0,7.0,3.0,1,,0.0,,5.0,7.0,,0.0,,,,,,6,8.0,2.0,1.0,,,4.0,,
20200016,0,4,8.0,0,7,1.0,0.0,6.0,8.0,,4,4.0,2.0,5.0,7.0,1.0,5.0,2.0,,,,,,8,5.0,4.0,,,,7.0,,
20200017,8,4,0.0,2,4,8.0,1.0,7.0,6.0,7.0,6,,3.0,3.0,7.0,,3.0,1.0,,3.0,,,,8,1.0,7.0,,,1.0,,1.0,
20200018,3,8,4.0,8,5,6.0,0.0,3.0,0.0,5.0,5,5.0,0.0,6.0,7.0,1.0,,6.0,,,,,,8,2.0,4.0,,,,8.0,,
20200019,7,8,2.0,3,5,2.0,0.0,6.0,7.0,3.0,5,5.0,,,4.0,0.0,3.0,5.0,7.0,0.0,,,,1,0.0,7.0,,,,,,
20200020,6,4,0.0,2,1,8.0,0.0,2.0,7.0,8.0,2,7.0,0.0,,5.0,4.0,1.0,5.0,1.0,,,,,6,2.0,0.0,8.0,,,,,
20200021,7,0,4.0,8,4,6.0,3.0,3.0,1.0,8.0,4,0.0,8.0,0.0,1.0,,2.0,4.0,5.0,8.0,,,,0,5.0,5.0,,,,5.0,,
20200022,2,8,4.0,0,0,8.0,6.0,,6.0,,8,,1.0,4.0,5.0,6.0,,2.0,6.0,2.0,,,,4,3.0,6.0,8.0,,,,2.0,
20200023,6,7,6.0,5,8,4.0,4.0,5.0,6.0,,6,,4.0,,1.0,,,1.0,,,,,,2,6.0,7.0,,,,6.0,,
20200024,2,2,0.0,4,2,2.0,8.0,8.0,4.0,8.0,6,4.0,4.0,2.0,2.0,0.0,,6.0,4.0,,,,,7,1.0,0.0,4.0,,,,,
20200025,0,6,,6,1,5.0,4.0,0.0,7.0,2.0,3,,1.0,5.0,6.0,,2.0,8.0,,,,,,5,0.0,6.0,0.0,,,5.0,,
20200026,8,8,0.0,1,7,4.0,6.0,,5.0,,0,,2.0,,8.0,,,,,7.0,,,,7,,0.0,,,5.0,,4.0,1.0
20200027,5,2,2.0,0,0,,,0.0,6.0,2.0,0,,1.0,,,,,6.0,,,,,,0,0.0,,,,,6.0,,
20200028,4,8,,2,6,7.0,7.0,0.0,3.0,6.0,6,4.0,8.0,0.0,1.0,,,1.0,2.0,,,,,1,7.0,5.0,7.0,,,6.0,,
20200029,1,0,3.0,4,8,6.0,6.0,3.0,1.0,7.0,4,8.0,5.0,6.0,5.0,3.0,,2.0,2.0,,,,,2,1.0,1.0,,,,8.0,,
20200030,4,8,,7,1,1.0,7.0,,2.0,,2,7.0,2.0,2.0,0.0,,8.0,5.0,,,,,,1,1.0,,3.0,,,,,
20200031,6,3,6.0,2,1,5.0,0.0,1.0,4.0,7.0,1,0.0,4.0,,2.0,8.0,8.0,8.0,,,,,,7,1.0,2.0,,,,,,
20200032,7,1,3.0,5,5,,,6.0,,,7,,2.0,,,,,4.0,,,,,,2,,6.0,,,,5.0,,
20200033,0,6,,7,3,0.0,8.0,6.0,5.0,1.0,3,,3.0,,6.0,8.0,,3.0,,,,,,4,,,,,,,,
20200034,5,2,0.0,5,7,8.0,,5.0,1.0,,4,,7.0,,,,,3.0,,,,,,0,4.0,6.0,,,,,,
20200035,3,6,7.0,8,6,7.0,4.0,3.0,0.0,4.0,2,0.0,7.0,7.0,8.0,8.0,,3.0,,,,,,4,1.0,6.0,1.0,,,7.0,,
20200036,1,5,7.0,8,3,3.0,3.0,4.0,,,5,0.0,,,,,,3.0,,,,,,5,2.0,7.0,,,,,,
20200037,2,6,1.0,7,6,8.0,4.0,0.0,1.0,3.0,0,6.0,7.0,7.0,8.0,,,0.0,3.0,,,,,5,2.0,0.0,,,,,,
