student_id,Introduction to Computer Science,Structured Programming,Structured Programming Lab,Calculus 1,Calculus 2,Discrete Mathematics,Statistical Methods,Linear Algebra,Object Oriented Programming,Object Oriented Programming Lab,Data Structures and Introduction to Algorithms,Algorithms Design and Analysis,Database Systems,Database Systems Lab,Operating Systems,Operating Systems Lab,Distributed Systems,Computer and Society,Information Systems Security,Introduction to Data Science,Introduction to Data Science Lab,Data Engineering,Data Engineering Lab,Statistics and Probability for Data Science,Artificial Intelligence,Computer Architecture for Machine Learning,Natural Language Processing,High Performance Computing for Big Data,Data Visualization,Pattern Recognition,Data Mining,Business Intelligence
20200001,67,68,92.0,99,85,56.0,96.0,55.0,91.0,85.0,55,75.0,75.0,45.0,68.0,70.0,46.0,46.0,,79.0,91.0,,,79,45.0,98.0,,,,52.0,,
20200002,99,97,77.0,86,94,83.0,55.0,68.0,93.0,45.0,79,92.0,93.0,91.0,71.0,,61.0,48.0,63.0,,,,,97,94.0,57.0,47.0,,,82.0,,
20200003,44,72,74.0,44,53,42.0,93.0,62.0,52.0,,84,,51.0,,,,,,,,,,,99,79.0,,,,,,,
20200004,85,84,83.0,64,69,50.0,77.0,,64.0,,54,88.0,40.0,,61.0,,,48.0,,,,,,74,62.0,75.0,93.0,,,,,
20200005,92,78,,79,40,95.0,85.0,,,,57,,52.0,,,,,60.0,,,,,,100,53.0,93.0,,,,,,
20200006,40,85,51.0,49,85,,64.0,61.0,50.0,,42,,,,,,,63.0,,90.0,,,,80,,,,,,61.0,,
20200007,47,59,43.0,67,44,87.0,90.0,40.0,98.0,65.0,73,67.0,67.0,80.0,68.0,,56.0,61.0,63.0,47.0,,,,52,,91.0,,,,,,
20200008,85,93,93.0,92,76,,40.0,42.0,,,85,71.0,,,80.0,,,71.0,,49.0,44.0,,,96,74.0,,78.0,,,77.0,,
20200009,92,94,71.0,81,76,82.0,43.0,,87.0,100.0,89,86.0,78.0,59.0,64.0,97.0,,,55.0,94.0,,70.0,,61,,,,43.0,49.0,,,
20200010,79,90,88.0,89,42,98.0,82.0,69.0,91.0,90.0,42,59.0,83.0,73.0,97.0,,,43.0,,81.0,71.0,97.0,,68,100.0,98.0,84.0,49.0,,,54.0,66.0
20200011,87,51,53.0,58,92,,53.0,84.0,62.0,,47,,94.0,,,,,,,99.0,,,,44,,93.0,,,,,,
20200012,66,59,65.0,77,82,45.0,59.0,,80.0,,68,84.0,,,95.0,,,,,,,,,78,48.0,63.0,,,,,,
20200013,40,89,58.0,59,61,74.0,79.0,,,,67,93.0,,,49.0,,,70.0,,,,,,69,,,,,,,,
20200014,58,66,95.0,48,73,65.0,,80.0,,,58,,74.0,59.0,,,,44.0,,,,,,97,,61.0,,,,,,
20200015,44,57,,83,43,,,40.0,67.0,86.0,52,,79.0,,41.0,87.0,,96.0,,,,,,70,94.0,59.0,42.0,,,49.0,,
20200016,63,54,82.0,42,66,79.0,57.0,99.0,85.0,,71,40.0,87.0,89.0,85.0,80.0,50.0,95.0,,,,,,43,53.0,88.0,,,,77.0,,
20200017,53,56,44.0,92,42,59.0,45.0,69.0,95.0,86.0,43,,93.0,62.0,71.0,,66.0,63.0,,62.0,,,,99,68.0,56.0,,,68.0,,55.0,
20200018,55,87,82.0,75,47,72.0,48.0,54.0,94.0,59.0,54,60.0,58.0,47.0,80.0,47.0,,51.0,,,,,,54,58.0,81.0,,,,44.0,,
20200019,71,54,56.0,60,74,81.0,53.0,78.0,82.0,85.0,92,56.0,,,90.0,79.0,82.0,73.0,61.0,59.0,,,,85,64.0,91.0,,,,,,
20200020,86,66,50.0,91,76,74.0,55.0,72.0,91.0,79.0,93,79.0,64.0,,45.0,62.0,67.0,51.0,50.0,,,,,66,55.0,88.0,87.0,,,,,
20200021,75,56,56.0,77,41,69.0,91.0,83.0,86.0,88.0,64,61.0,76.0,71.0,53.0,,50.0,73.0,83.0,42.0,,,,87,76.0,65.0,,,,73.0,,
20200022,73,100,100.0,94,58,80.0,85.0,,78.0,,74,,77.0,57.0,75.0,75.0,,57.0,49.0,44.0,,,,67,61.0,88.0,88.0,,,,90.0,
20200023,56,41,99.0,96,95,40.0,100.0,79.0,89.0,,64,,45.0,,97.0,,,68.0,,,,,,52,80.0,55.0,,,,52.0,,
20200024,97,66,85.0,51,97,78.0,45.0,86.0,65.0,42.0,84,90.0,88.0,50.0,100.0,100.0,,60.0,60.0,,,,,98,62.0,72.0,52.0,,,,,
20200025,61,46,,90,93,78.0,84.0,99.0,76.0,51.0,96,,92.0,72.0,42.0,,78.0,92.0,,,,,,48,81.0,61.0,98.0,,,41.0,,
20200026,41,98,94.0,46,60,80.0,74.0,,64.0,,42,,42.0,,90.0,,,,,46.0,,,,87,,79.0,,,61.0,,90.0,70.0
20200027,41,76,85.0,72,64,,,42.0,66.0,89.0,90,,89.0,,,,,83.0,,,,,,50,49.0,,,,,83.0,,
20200028,93,63,,50,95,41.0,78.0,74.0,96.0,49.0,86,77.0,57.0,57.0,67.0,,,65.0,66.0,,,,,80,85.0,79.0,61.0,,,41.0,,
20200029,48,50,49.0,89,74,67.0,91.0,50.0,69.0,48.0,62,61.0,79.0,89.0,85.0,64.0,,62.0,97.0,,,,,48,83.0,81.0,,,,41.0,,
20200030,63,75,,82,64,92.0,83.0,,41.0,,98,92.0,99.0,57.0,90.0,,89.0,97.0,,,,,,40,60.0,,91.0,,,,,
20200031,81,51,65.0,92,69,74.0,48.0,75.0,50.0,56.0,54,52.0,70.0,,58.0,93.0,77.0,71.0,,,,,,44,63.0,94.0,,,,,,
20200032,87,93,99.0,82,54,,,58.0,,,72,,79.0,,,,,54.0,,,,,,64,,76.0,,,,65.0,,
20200033,83,92,,45,69,43.0,60.0,60.0,86.0,66.0,56,,97.0,,83.0,69.0,,71.0,,,,,,72,,,,,,,,
20200034,41,81,64.0,85,64,78.0,,92.0,100.0,,45,,83.0,,,,,67.0,,,,,,91,79.0,54.0,,,,,,
20200035,69,89,70.0,99,54,41.0,52.0,49.0,86.0,68.0,78,100.0,62.0,88.0,93.0,76.0,,61.0,,,,,,55,83.0,75.0,80.0,,,63.0,,
20200036,82,96,55.0,95,42,71.0,95.0,67.0,,,50,40.0,,,,,,75.0,,,,,,71,43.0,78.0,,,,,,
20200037,82,59,59.0,47,53,74.0,69.0,87.0,44.0,89.0,79,64.0,73.0,78.0,77.0,,,80.0,57.0,,,,,79,63.0,88.0,,,,,,
20200038,58,74,62.0,62,80,61.0,73.0,79.0,75.0,66.0,56,51.0,87.0,50.0,95.0,56.0,,47.0,,79.0,73.0,,,61,71.0,92.0,75.0,,,,,
20200039,77,83,72.0,60,50,42.0,47.0,58.0,44.0,,80,45.0,80.0,,52.0,,,95.0,,,,,,75,93.0,58.0,,,,93.0,,
20200040,97,58,,73,55,65.0,,47.0,55.0,50.0,62,,55.0,85.0,59.0,,,97.0,70.0,,,,,92,68.0,64.0,,,,,,
20200041,48,87,74.0,74,50,,71.0,97.0,97.0,68.0,56,,40.0,,72.0,,82.0,,66.0,,,,,53,,,,,,,,
20200042,91,59,59.0,89,65,48.0,88.0,,92.0,52.0,53,98.0,61.0,100.0,72.0,41.0,,,,78.0,72.0,,,84,91.0,62.0,93.0,,,,,
20200043,90,57,87.0,84,78,87.0,45.0,89.0,51.0,95.0,52,65.0,40.0,,93.0,,,,,,,,,92,94.0,,,,,,,
20200044,82,78,66.0,87,75,57.0,93.0,78.0,69.0,,89,,71.0,72.0,83.0,48.0,83.0,,,,,,,78,77.0,97.0,58.0,,,,,
20200045,96,77,86.0,49,98,93.0,43.0,100.0,56.0,,58,97.0,,,,,,48.0,,81.0,,,,43,66.0,,,,,76.0,,
20200046,98,60,75.0,49,45,96.0,73.0,,73.0,49.0,81,,,,68.0,73.0,42.0,74.0,82.0,93.0,,,,89,,70.0,,,,,,
20200047,73,76,87.0,93,40,42.0,,83.0,51.0,,99,85.0,47.0,57.0,88.0,89.0,53.0,74.0,83.0,,,,,81,73.0,70.0,84.0,,,,,
20200048,60,75,85.0,60,78,74.0,94.0,74.0,97.0,,58,94.0,49.0,84.0,57.0,,52.0,79.0,,,,,,78,52.0,70.0,42.0,,,97.0,,
20200049,94,97,,96,45,41.0,48.0,89.0,90.0,,57,,61.0,,50.0,90.0,90.0,72.0,56.0,,,,,85,77.0,92.0,,,,95.0,,
20200050,82,46,100.0,54,49,69.0,82.0,,77.0,71.0,62,72.0,83.0,,,,,,,,,,,74,,66.0,,,,,,
20200051,59,53,,73,62,,81.0,53.0,83.0,,47,,,,87.0,,74.0,89.0,45.0,,,,,75,76.0,72.0,,,,,,
20200052,80,84,45.0,66,49,52.0,63.0,93.0,53.0,,87,71.0,89.0,83.0,79.0,,94.0,83.0,,62.0,96.0,,,69,92.0,92.0,,,,65.0,54.0,
